,time_s,dt_s,pick_or_shoot,action_number
196,67.646178722,0.002857447,0,2
197,68.090712785,0.444534063,0,3
198,68.092620611,0.001907826,0,4
199,68.990755558,0.898134947,0,5
200,69.230705976,0.239950418,0,6
201,69.640768766,0.41006279,0,7
202,70.000730753,0.359961987,0,8
203,70.440891504,0.440160751,0,9
204,70.444885015,0.003993511,0,1
205,70.448667288,0.003782273,0,2
206,70.920751333,0.472084045,0,3
207,70.922743797,0.001992464,0,4
208,71.830826521,0.908082724,0,5
209,72.080728292,0.249901771,0,6
210,72.540742159,0.460013867,0,7
211,72.930731296,0.389989137,0,8
212,73.340721845,0.409990549,0,9
213,73.343498707,0.002776862,0,1
214,73.346395969,0.002897262,0,2
215,73.860729217,0.514333248,0,3
216,73.862622022,0.001892805,0,4
217,74.770721197,0.908099175,0,5
218,75.040719032,0.269997835,0,6
219,75.540801286,0.500082254,0,7
220,75.95073843,0.409937144,0,8
221,76.440808773,0.490070343,0,9
222,76.444667339,0.003858566,0,1
223,76.448103189,0.00343585,0,2
224,77.000920534,0.552817345,0,3
225,77.004750967,0.003830433,0,4
226,77.920959472,0.916208505,0,5
227,78.210742235,0.289782763,0,6
228,78.640818357,0.430076122,0,7
229,79.090889454,0.450071097,0,8
230,79.540767193,0.449877739,0,9
231,79.543919086,0.003151893,1,1
232,79.547496319,0.003577233,1,2
233,80.140759945,0.593263626,1,3
234,81.73074317,1.5899832250000001,1,4
235,82.300734758,0.569991588,1,5
236,82.30244565,0.001710892,1,6
237,82.740749597,0.438303947,1,7
238,83.640693426,0.899943829,1,8
239,83.643140793,0.002447367,1,1
240,83.645715236,0.002574443,1,2
241,83.940724611,0.295009375,1,3
242,84.850713253,0.909988642,1,4
243,85.370692491,0.519979238,1,5
244,85.372156381,0.00146389,1,6
245,85.840707063,0.468550682,1,7
246,86.640710592,0.800003529,1,8
247,86.642740726,0.002030134,1,1
248,86.644936323,0.002195597,1,2
249,86.910764694,0.265828371,1,3
250,87.540733576,0.629968882,1,4
251,88.020738125,0.480004549,1,5
252,88.022365331,0.001627206,1,6
253,88.440701484,0.418336153,1,7
254,89.240710973,0.800009489,1,8
255,89.242912769,0.002201796,1,1
256,89.245399952,0.002487183,1,2
257,89.490715265,0.245315313,1,3
258,90.120805502,0.630090237,1,4
259,90.57071352,0.449908018,1,5
260,90.572386265,0.001672745,1,6
261,91.040685177,0.468298912,1,7
262,91.840683698,0.799998521,1,8
263,91.842675686,0.001991988,1,1
264,91.846938133,0.004262447,1,2
265,92.090800762,0.243862629,1,3
266,92.990750074,0.899949312,1,4
267,93.410745144,0.41999507,1,5
268,93.412702799,0.001957655,1,6
269,93.840923547,0.428220748,1,7
270,93.843879938,0.002956391,1,8
271,93.846116304,0.002236366,0,1
272,93.849421262,0.003304958,0,2
273,94.25071144099999,0.401290179,0,3
274,94.252521038,0.001809597,0,4
275,96.270711183,2.018190145,0,5
276,96.272529602,0.001818419,0,6
277,96.340695142,0.06816554,0,7
278,96.760710954,0.420015812,0,8
279,97.240702152,0.479991198,0,9
280,97.243093967,0.002391815,0,1
281,97.245517492,0.002423525,0,2
282,97.680740595,0.435223103,0,3
283,97.682379245,0.00163865,0,4
284,98.580767631,0.898388386,0,5
285,98.82071042,0.239942789,0,6
286,99.240762949,0.420052529,0,7
287,99.600775718,0.360012769,0,8
288,100.04071474,0.439939022,0,9
289,100.043352842,0.002638102,1,1
290,100.045860052,0.00250721,1,2
291,100.52073574,0.474875688,1,3
292,102.440920591,1.9201848510000001,1,4
293,102.890872955,0.449952364,1,5
294,102.894094228,0.003221273,1,6
295,103.340711593,0.446617365,1,7
296,104.140720129,0.800008536,1,8
297,104.143060684,0.002340555,1,1
298,104.145527839,0.002467155,1,2
299,104.380735635,0.235207796,1,3
300,105.000761032,0.620025397,1,4
301,105.420760631,0.419999599,1,5
302,105.423628568,0.002867937,1,6
303,105.840715408,0.41708684,1,7
304,105.842391491,0.001676083,1,8
305,105.84431529,0.001923799,0,1
306,105.847481012,0.003165722,0,2
307,106.250870943,0.403389931,0,3
308,106.255761623,0.00489068,0,4
309,108.100872516,1.845110893,0,5
310,108.103642225,0.002769709,0,6
311,108.140773296,0.037131071,0,7
312,108.560732126,0.41995883,0,8
313,109.040731191,0.479999065,0,9
314,109.043714761,0.00298357,1,1
315,109.047421694,0.003706933,2,1
